,title,artist,lyric
0,내 인생 드라마,양송희,"매일 같이 돌아가는 내 하루
웃고 우는 하루는 날 채워가
넘어져도 일어나려 했던건
지난날 상처 때문이야
가끔은 돌아보면
누군가가 나를 미워해도
여전히 난 잘하고있어
난 이제 시작이야
내 인생 드라마
내 인생 드라마
매일 같이 돌아가는 내하루
새로운 사람들을 만나고
포기하고 싶은 순간 있어도
다시 또 일어날 거야
가끔은 돌아보면
누군가가 나를 싫어해도
지금도 난 잘하고있어
난 이제 시작이야
내 인생 드라마
내 인생 드라마
내게 남은것은 나 하나
마주한 모든 날들이
새로운 드라마로 만들어
행복한 순간들로
내 인생 드라마
내 인생 드라마"
1,웃자,김무진,"지난날 슬픔 모두 잊고서 시원하게 소리쳐봐요 하하

그대여 무슨 사연 있나요. 속 시원히 털어 내봐요
그 어떤 위로보다 확실한 행복 그대에게 안겨줄게요
지나간 어제 일은 잊어버리고 내일을 기대해 봐요
물 부족 국가에서 눈물방울은 없는 형편 사치랍니다
크게 웃으면 힘이 생겨요. 웃음은 행복의 바이러스라
함께 나누며 외쳐봅시다. 모두 함께 이겨냅시다
웃자 웃자 웃자 웃자 웃자 웃으면 행복이 와요
지난날 아픔 모두 잊고서 호통하게 소리쳐봐요 하하
웃자 웃자 웃자 웃자 웃자 웃으면 대박이 와요
지난날 슬픔 모두 잊고서 시원하게 소리쳐봐요 하하

지난날 슬픔 모두 잊고서 시원하게 소리쳐봐요 하하

지나간 실패들은 날려버리고 대박만 생각하세요
미소는 자신감의 특효약이라 싱글벙글 달려갑시다
크게 웃으면 힘이 생겨요. 웃음은 행복의 바이러스라
함께 나누며 외쳐봅시다. 모두 함께 이겨냅시다
웃자 웃자 웃자 웃자 웃자 웃으면 행복이 와요
지난날 아픔 모두 잊고서 호통하게 소리쳐봐요 하하
웃자 웃자 웃자 웃자 웃자 웃으면 대박이 와요
지난날 슬픔 모두 잊고서 시원하게 소리쳐봐요 하하
웃자 웃자 웃자 웃자 웃자 웃으면 건강이 와요
지난날 아픔 모두 잊고서 천년만년 소리쳐봐요 하하
천년만년 소리쳐봐요 하하"
2,나만의 꽃,김보영,"다시는 가지 않아요 가시밭 그 길
모르고 걸어왔지만 이젠 알아요
눈물이 많아 외롭던 사연은 싫어
아픔은 뒤로보내고 걸어가야지
부는 바람아 실어가렴 흐트러진 내마음을
사는 동안에 꼭 한번은 내세상이 있을거라고
웃으며 돌아보는 인생 길에서
꽃을 피워요 나만의 소중한 꽃을 피워요


다시는 가지않아요 가시밭 그 길
모르고 걸어왔지만 이젠 알아요
눈물이 많아 외롭던 사연은 싫어
아픔은 뒤로보내고 걸어가야지
부는 바람아 실어가렴 흐트러진 내마음을
사는 동안에 꼭 한번은 내세상이 있을거라고
웃으며 돌아보는 인생 길에서
꽃을 피워요 나만의 소중한 꽃을 피워요
나만의 소중한 꽃을 피워요"
3,오르락 내리락,김규석,"오르락 내리락 오르락 내리락
세상만사 모든것이 오르락 내리락
그런것이 인생이라 어찌하것소
인생살이 오르락 내리락

뻥뻥 치며 산다한들 누가 뭐라요
너나 나나 똑같은 인생
좋은날도 힘든날도 인생인 것을
울고웃는 우리네 인생

아낌없이 사랑하고 서로돕고 이해하는
인생 살이 한번 뿐인데
그냥저냥 가버리는 저 세월을 붙잡고서
있던 없던 뻥뻥치며 살아갑시다

오르락 내리락 오르락 내리락
세상만사 모든 것이 오르락 내리락
그런것이 인생이라 어찌하것소
인생살이 오르락 내리락


아낌없이 사랑하고 서로돕고 이해하는
인생 살이 한번 뿐인데
그냥저냥 가버리는 저 세월을 붙잡고서
있던 없던 뻥뻥치며 웃어봅시다

오르락 내리락 오르락 내리락
세상만사 모든것이 오르락 내리락
그런것이 인생이라 어찌하것소
인생살이 오르락 내리락
세상살이 오르락 내리락"
4,강변역에서 (기타 솔로 ver.),서사장 (SSJ),"강변역에서 출발 할께요
당신을 만나러 막차를 타고
아아아아 벌써 설레여 와요
내 마누라 보다 예쁜 당신

당신을 생각 하면서 카톡을 보내고
당신을 생각 하면서 고소장을 작성을 하고
아아 강변역에서 막차를 타고 도도한 당신에게 가고 있어요

서초역 앞에 도착 했어요
당신을 만나러 첫차를 타고
아아아아 벌써 설레여 와요
내 마누라 보다 예쁜 당신

당신을 생각 하면서 카톡을 보내고
당신을 생각 하면서 고소장을 작성을 하고
아아 강변역에서 막차를 타고 도도한 당신에게 가고 있어요

아아 강변역에서 막차를 타고 도도한 당신에게 가고 있어요
아아 강변역에서 막차를 타고 마누라 보다 예쁜 널 만나러 가요"
5,내여자,박진도,"당신은 내 여자요 하늘에서 내려준 선물
하늘이 내려 준 선물
어쩌면 이리 고울까 어여쁜 내 사랑아
당신은 내 가슴 속에 행복을 심어 준 여자
사랑해요 고마워요 당신은 내 여자
쇼핑도 하고 여행도 가고
당신만을 위해 살겠소

당신은 당신은 내 여자요

당신은 내 여자요 하늘에서 내려준 선물
하늘이 내려 준 선물
어쩌면 이리 고울까 어여쁜 내 사랑아
당신은 내 가슴 속에 행복을 심어 준 여자
사랑해요 고마워요 당신은 내 여자
쇼핑도 하고 여행도 가고
당신만을 위해 살겠소
쇼핑도 하고 여행도 가고
당신만을 위해 살겠소"
6,흑산도 아가씨 (Cover Ver.),나이영,"남몰래 서러운 세월은 가고
물결은 천번만번 밀려 오는데
못견디게 그리운 아득한 저 육지를
바라보다 검게타버린
검게타버린
흑산도 아가씨
한없이 외로운 달빛을 안고
흘러온 나그넨가 귀향살이 인가
애타도록 보고픈 머나먼 그 서울을
그리다가 검게타버린 검게타버린
흑산도 아가씨."
7,동반자,유진표,"사계절의 세상속에서 아쉬움만 그리움만 밀려오네요
떨어지는 석양을 보며 뒤돌아 노래 부른다
괜찮아 괜찮아 우리는 지금이 최고 서로를 사랑하니까
있으면 있는 대로 없으면 없는 대로 떠오르는 태양 바라보며
가슴을 열고 호탕하게 웃어봐요
우린 영원한 동반자 니까

비내리는바닷가에서 빗방울이 파도되어 밀려오네요
부딪치는 파도를 보며 하늘 향해 노래 부른다
괜찮아 괜찮아 우리는 지금이 최고 서로를 사랑하니까
있으면 있는 대로 없으면 없는 대로 떠오르는 태양 바라보며
가슴을 열고 호탕하게 웃어봐요 우린영원한 동반자니까
가슴을 열고 호탕하게 웃어봐요 우린영원한 동반자니까"
8,로또,이숙,"로또 로또 난 너의 로또야
사랑 사랑이라 저장하면돼
로또 로또 난 너의 로또야
언제나 변함없이 너를 사랑해
내 모든 걸 네게 줄게
부족하면 언제든 얘기해
내 사랑은 셀 수 없는
은하수의 별보다 더 많아
낙첨이 없는 로또야
널 위해 존재하니까
세상의 하나 뿐인 로또
로또 로또 난 너의 로또야
사랑 사랑이라 저장 하면되
로또 로또 난 너의 로또야
언제나 변함없이 너를 사랑해

로또 로또 난 너의 로또야
사랑 사랑이라 저장하면돼
로또 로또 난 너의 로또야
언제나 변함없이 너를 사랑해
내 모든 걸 네게 줄게
부족하면 언제든 얘기해
내 사랑은 셀 수 없는
은하수의 별보다 더 많아
낙첨이 없는 로또야
널 위해 존재하니까
세상의 하나 뿐인 로또
로또 로또 난 너의 로또야
사랑 사랑이라 저장 하면되
로또 로또 난 너의 로또야
언제나 변함없이 너를 사랑해
로또 로또 난 너의 로또야
언제나 변함없이 너를 사랑해
난난 너의 로또야"
9,웬수야 (New Ver.),김민진,"원수는 외나무다리에서
만난다고 말들 하지만
우리 집 웬수는 나랑 같이 살면서
매일매일 피해 다니네 ~
웬수야~ 이놈에 웬수야
너 때문에 내가 못 산다
알았으면 결혼했냐 속았으니 결혼했지
이제 와 후회한들 뭣하리
허구헌날 술 마시고 오늘도 새벽 한시
내 맘이 문드러진다
웬수야~ 이놈에 웬수야
너 때문에 천불이 난다
백번도 넘게 이혼하고 싶었는데
애들 땜에 참고 살았다~

웬수야~ 이놈에 인간아
너 때문에 내가 못 산다
TV 하고 결혼했냐 쇼파하고 결혼했냐
나랑 제발 대화 좀 하자
허구헌날 스마트폰 오늘도 새벽 한시
내 맘이 문드러진다
웬수야~ 이놈에 웬수야
너 때문에 천불이 난다
백번도 넘게 이혼하고 싶었는데
애들 땜에 참고 살았다~
어쩔 수 없자나 데리고 살아야지
니 성격 누가 받아주겠냐
그 웬수가 바로 접니다!
웬수야~~~!!"
